geonameid,name,asciiname,lat,lon,feature_code,admin1_code,admin2_code,population,lang_guess,name_root,name_dupe_count
2595759,Abattoirs,Abattoirs,14.67944,-17.44972,PPLX,01,,0,,,1
11523380,Abattoirs I,Abattoirs I,14.7695,-17.39115,PPLX,01,,0,,,1
2254769,Abdallah,Abdallah,16.2367,-13.97621,PPL,14,,0,,,1
2254767,Abdou Dao,Abdou Dao,14.91578,-15.74054,PPL,13,,0,,,1
8449410,Abene,Abene,13.0,-16.73333,PPL,12,2253903,0,,,1
2254764,Abirane Gaye,Abirane Gaye,15.88333,-16.23333,PPL,14,,0,,,1
2254766,Abékouta,Abekouta,13.33333,-14.61667,PPL,11,,0,,,1
2254765,Abéné,Abene,12.99857,-16.72095,PPL,12,,0,,,1
6647970,Acaré,Acare,14.76864,-12.76723,PPL,05,,0,,,1
2254763,Adabéré,Adabere,15.13953,-12.78577,PPL,15,,0,,,1
2254761,Adiana,Adiana,12.45,-15.81667,PPL,18,,0,,,1
2254760,Adioufa,Adioufa,12.54333,-15.75417,PPL,18,,0,,,1
2254759,Adjing,Adjing,12.4575,-15.67194,PPL,18,,0,,,1
2254758,Adoune Bram,Adoune Bram,12.46833,-15.91583,PPL,12,,0,,,1
2254762,Adéane,Adeane,12.63,-16.01694,PPL,12,,2115,,,1
2254754,Affiniam,Affiniam,12.65444,-16.36278,PPL,12,,0,,,1
2254755,Affé,Affe,15.75,-16.3,PPL,13,,0,,,1
6917788,Afia,Afia,12.5526,-12.5293,PPL,17,,0,,,1
6917799,Afia II,Afia II,12.3693,-12.3119,PPL,17,,0,,,1
13507312,Afia Mbaké,AfiaMbake,14.57982,-16.14895,PPL,03,2252312,0,,,1
2251188,Afé,Afe,15.1316,-15.4272,PPL,13,,0,,,2
6920416,Afé,Afe,15.385,-16.23,PPL,13,,0,,,2
2254756,Afé Gouye,AfeGouye,14.78913,-15.94269,PPL,03,,0,,,1
13554091,Afé Lévé,AfeLeve,14.38335,-15.2791,PPL,16,10778871,0,,,1
2251190,Afé Mouride,AfeMouride,14.14021,-15.60197,PPL,16,,0,,,1
2596047,Afé Niang,Afe Niang,15.775,-16.25917,PPL,13,,0,,,2
2596050,Afé Niang,Afe Niang,15.78,-16.295,PPL,13,,0,,,2
2244755,Afé Tialène,AfeTialene,14.14028,-15.57828,PPL,16,,0,,,1
13554550,Afé Tidjane,AfeTidjane,14.14416,-15.59032,PPL,16,2251008,0,,,1
2254751,Aga Babou,Aga Babou,14.33866,-16.75282,PPL,07,,0,,,1
2254752,Aga Biram,AgaBiram,14.35442,-16.76818,PPL,07,,0,,,1
