geonameid,name,lat,lon,region,department,population,settlement_morpheme,naming_language,religious_element,ethnonym,ethnonym_stem,split_ordinal,patronym,patronym_group,eco_term,eco_kind,name_reuse_count
2595759,Abattoirs,14.67944,-17.44972,Dakar,Dakar,0,,,,,,,,,,,1
11523380,Abattoirs I,14.7695,-17.39115,Dakar,Pikine,0,,,,,,1,,,,,1
2254769,Abdallah,16.2367,-13.97621,Saint Louis,Podor,0,,,,,,,,,,,1
2254767,Abdou Dao,14.91578,-15.74054,Louga,Linguere,0,,,,,,,,,,,1
8449410,Abene,13.0,-16.73333,Ziguinchor,Bignona,0,,,,,,,,,,,1
2254764,Abirane Gaye,15.88333,-16.23333,Louga,Louga,0,,,,,,,Gaye,Wolof,,,1
2254766,Abékouta,13.33333,-14.61667,Kolda,Medina Yoroufoula,0,,,,,,,,,,,1
2254765,Abéné,12.99857,-16.72095,Ziguinchor,Bignona,0,,,,,,,,,,,1
6647970,Acaré,14.76864,-12.76723,Matam,Kanel,0,,,,,,,,,,,1
2254763,Adabéré,15.13953,-12.78577,Matam,Kanel,0,,,,,,,,,,,1
2254761,Adiana,12.45,-15.81667,Sedhiou,Goudomp,0,,,,,,,,,,,1
2254760,Adioufa,12.54333,-15.75417,Sedhiou,Goudomp,0,,,,,,,,,,,1
2254759,Adjing,12.4575,-15.67194,Sedhiou,Goudomp,0,,,,,,,,,,,1
2254758,Adoune Bram,12.46833,-15.91583,Sedhiou,Goudomp,0,,,,,,,,,,,1
2254762,Adéane,12.63,-16.01694,Ziguinchor,Ziguinchor,2115,,,,,,,,,,,1
2254754,Affiniam,12.65444,-16.36278,Ziguinchor,Bignona,0,,,,,,,,,,,1
2254755,Affé,15.75,-16.3,Louga,Louga,0,,,,,,,,,,,1
6917788,Afia,12.5526,-12.5293,Kedougou,Kedougou,0,,,,,,,,,,,1
6917799,Afia II,12.3693,-12.3119,Kedougou,Kedougou,0,,,,,,2,,,,,1
13507312,Afia Mbaké,14.57982,-16.14895,Diourbel,Diourbel,0,,,,,,,,,,,1
2251188,Afé,15.1316,-15.4272,Louga,Linguere,0,,,,,,,,,,,2
6920416,Afé,15.385,-16.23,Louga,Kebemer,0,,,,,,,,,,,2
2254756,Afé Gouye,14.78913,-15.94269,Diourbel,Mbacke,0,,,,,,,,,gouye,tree,1
13554091,Afé Lévé,14.38335,-15.2791,Kaffrine,Malem Hodar,0,,,,,,,,,,,1
2251190,Afé Mouride,14.14021,-15.60197,Kaffrine,Kaffrine,0,,,,,,,,,,,1
2596047,Afé Niang,15.775,-16.25917,Louga,Louga,0,,,,,,,Niang,Wolof,,,2
2596050,Afé Niang,15.78,-16.295,Louga,Louga,0,,,,,,,Niang,Wolof,,,2
2244755,Afé Tialène,14.14028,-15.57828,Kaffrine,Kaffrine,0,,,,,,,,,,,1
13554550,Afé Tidjane,14.14416,-15.59032,Kaffrine,Kaffrine,0,,,,,,,,,,,1
2254751,Aga Babou,14.33866,-16.75282,Thies,Mbour,0,,,,,,,,,,,1
2254752,Aga Biram,14.35442,-16.76818,Thies,Mbour,0,,,,,,,,,,,1
13507449,Aga Ndimak,14.35493,-16.74521,Thies,Mbour,0,,,,,,,,,,,1
2254749,Agnak Grand,12.57194,-16.10472,Ziguinchor,Ziguinchor,0,,,,,,,,,,,1
2254748,Agnak Petit,12.57194,-16.12194,Ziguinchor,Ziguinchor,0,,,,,,,,,,,1
8556219,Agnam Civol,16.005,-13.69306,Matam,Matam,0,,,,,,,,,,,1
